objectID,name,brand
3866013,"Speck - SeeThru Satin Case for 15"" Apple® MacBook® Pro with Retina display - Black",Speck
7815096,"Apple - 27"" iMac® with Retina 5K display - Intel Core i5 (3.2GHz) - 8GB Memory - 1TB Hard Drive - Silver",Apple
4276800,Apple - Apple Watch™ Magnetic Charging Cable (1 m) - White,Apple
4265802,Apple - iPad mini 4 Wi-Fi 128GB - Gold,Apple
7576047,Apple - iPad® mini 2 with Wi-Fi + Cellular - 16GB - (AT&T) - Silver,Apple
4561443,Apple - iPhone® 6s Leather Case - Brown,Apple
4290138,Apple - iPod touch® 64GB MP3 Player (6th Generation - Latest Model) - Gold,Apple
9208494,Apple - Mini DisplayPort to Dual-Link DVI Adapter - White,Apple
2865501,"Apple - Smart Cover for Apple iPad® mini, iPad mini 2 and iPad mini 3 - Blue",Apple
4538106,Apple - Smart Cover for Apple® iPad® mini 4 - Gray,Apple
7902765,BISSELL - CleanView Bagless Upright Vacuum - Samba Orange,BISSELL
7649946,Cole Haan - Braid Emboss Case for Apple® iPhone® 6 and 6s - British Tan,Cole Haan
8177004,Crane - Drop 1.0 Gal. Ultrasonic Cool Mist Humidifier - Radiant Orchid,Crane
9532107,Crock-Pot - 6-Quart WeMo Enabled Smart Slow Cooker - Silver,Crock-Pot
5067414,Danby - Beverage Center - Black,Danby
9513018,Disney - Classic Mickey Mouse Mini Waffle Maker - Black,Disney
2040147,Dynex™ - Case for Apple® iPhone® 5 and 5s - White/Blue/Green/Orange,Dynex™
8615349,Dynex™ - Case for Apple® iPhone® 5s - Black/White,Dynex™
8615385,Dynex™ - Case for Apple® iPhone® 5s - Blue,Dynex™
2040192,Dynex™ - Case for Apple® iPhone® 6 Plus - Blue,Dynex™
6833061,Dynex™ - Case for Apple® iPhone® 6 Plus and 6s Plus - Green/White,Dynex™
7267824,Dyson - Soft Dusting Brush,Dyson
8614917,Exclusive - 12-Cup Coffeemaker - Black,Exclusive
1709082,Fellowes - AeraMax DX55 Air Purifier - White,Fellowes
9180189,GE - 6.0 Cu. Ft. 6-Cycle Electric Dryer - White-on-White,GE
